date,species,trap,latitude,longitude,nummosquitos,wnvpresent,year,month,weekofyear,yearmonth,weekday,closest_station,station,tmax,tmin,tavg,depart,dewpoint,wetbulb,preciptotal,resultspeed,resultdir,avgspeed,daytime,rhumidity,rolltemp7,rollprec7,rollrh7,rolltemp10,rollprec10,rollrh10,rolltemp14,rollprec14,rollrh14
2007-05-29,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,1,0,2007,5,22,2007-05,1,1,1,88,60,74.0,10,58,65,0.0,5.8,18,6.5,896,57.39844888625208,64.78571428571429,0.2015714285714286,63.69231111610655,65.5,0.15030000000000002,59.57652147219934,68.28571428571429,0.10878571428571429,53.839960318223724
2007-05-29,CULEX RESTUANS,T002,41.95469,-87.800991,1,0,2007,5,22,2007-05,1,1,1,88,60,74.0,10,58,65,0.0,5.8,18,6.5,896,57.39844888625208,64.78571428571429,0.2015714285714286,63.69231111610655,65.5,0.15030000000000002,59.57652147219934,68.28571428571429,0.10878571428571429,53.839960318223724
2007-05-29,CULEX RESTUANS,T007,41.994991,-87.769279,1,0,2007,5,22,2007-05,1,1,1,88,60,74.0,10,58,65,0.0,5.8,18,6.5,896,57.39844888625208,64.78571428571429,0.2015714285714286,63.69231111610655,65.5,0.15030000000000002,59.57652147219934,68.28571428571429,0.10878571428571429,53.839960318223724
2007-05-29,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,1,0,2007,5,22,2007-05,1,1,1,88,60,74.0,10,58,65,0.0,5.8,18,6.5,896,57.39844888625208,64.78571428571429,0.2015714285714286,63.69231111610655,65.5,0.15030000000000002,59.57652147219934,68.28571428571429,0.10878571428571429,53.839960318223724
2007-05-29,CULEX RESTUANS,T015,41.974089,-87.824812,4,0,2007,5,22,2007-05,1,1,1,88,60,74.0,10,58,65,0.0,5.8,18,6.5,896,57.39844888625208,64.78571428571429,0.2015714285714286,63.69231111610655,65.5,0.15030000000000002,59.57652147219934,68.28571428571429,0.10878571428571429,53.839960318223724
2007-05-29,CULEX RESTUANS,T045,41.9216,-87.666455,2,0,2007,5,22,2007-05,1,2,2,88,65,76.5,10,59,66,0.0,5.8,16,7.4,896,54.73053358691181,67.57142857142857,0.05728571428571432,58.22315850131554,65.45,0.15020000000000003,60.71766496304569,68.5,0.10878571428571429,55.266038805821346
2007-05-29,CULEX RESTUANS,T046,41.891118,-87.65449100000001,1,0,2007,5,22,2007-05,1,2,2,88,65,76.5,10,59,66,0.0,5.8,16,7.4,896,54.73053358691181,67.57142857142857,0.05728571428571432,58.22315850131554,65.45,0.15020000000000003,60.71766496304569,68.5,0.10878571428571429,55.266038805821346
2007-05-29,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,1,0,2007,5,22,2007-05,1,2,2,88,65,76.5,10,59,66,0.0,5.8,16,7.4,896,54.73053358691181,67.57142857142857,0.05728571428571432,58.22315850131554,65.45,0.15020000000000003,60.71766496304569,68.5,0.10878571428571429,55.266038805821346
2007-05-29,CULEX RESTUANS,T048,41.867108,-87.654224,2,0,2007,5,22,2007-05,1,2,2,88,65,76.5,10,59,66,0.0,5.8,16,7.4,896,54.73053358691181,67.57142857142857,0.05728571428571432,58.22315850131554,65.45,0.15020000000000003,60.71766496304569,68.5,0.10878571428571429,55.266038805821346
2007-05-29,CULEX RESTUANS,T049,41.896282,-87.655232,1,0,2007,5,22,2007-05,1,2,2,88,65,76.5,10,59,66,0.0,5.8,16,7.4,896,54.73053358691181,67.57142857142857,0.05728571428571432,58.22315850131554,65.45,0.15020000000000003,60.71766496304569,68.5,0.10878571428571429,55.266038805821346
2007-05-29,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,1,0,2007,5,22,2007-05,1,2,2,88,65,76.5,10,59,66,0.0,5.8,16,7.4,896,54.73053358691181,67.57142857142857,0.05728571428571432,58.22315850131554,65.45,0.15020000000000003,60.71766496304569,68.5,0.10878571428571429,55.266038805821346
2007-05-29,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,2,0,2007,5,22,2007-05,1,2,2,88,65,76.5,10,59,66,0.0,5.8,16,7.4,896,54.73053358691181,67.57142857142857,0.05728571428571432,58.22315850131554,65.45,0.15020000000000003,60.71766496304569,68.5,0.10878571428571429,55.266038805821346
2007-05-29,CULEX RESTUANS,T054,41.921965,-87.632085,3,0,2007,5,22,2007-05,1,2,2,88,65,76.5,10,59,66,0.0,5.8,16,7.4,896,54.73053358691181,67.57142857142857,0.05728571428571432,58.22315850131554,65.45,0.15020000000000003,60.71766496304569,68.5,0.10878571428571429,55.266038805821346
2007-05-29,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,1,0,2007,5,22,2007-05,1,2,2,88,65,76.5,10,59,66,0.0,5.8,16,7.4,896,54.73053358691181,67.57142857142857,0.05728571428571432,58.22315850131554,65.45,0.15020000000000003,60.71766496304569,68.5,0.10878571428571429,55.266038805821346
2007-05-29,CULEX RESTUANS,T086,41.688324,-87.676709,1,0,2007,5,22,2007-05,1,2,2,88,65,76.5,10,59,66,0.0,5.8,16,7.4,896,54.73053358691181,67.57142857142857,0.05728571428571432,58.22315850131554,65.45,0.15020000000000003,60.71766496304569,68.5,0.10878571428571429,55.266038805821346
2007-05-29,CULEX RESTUANS,T091,41.862292,-87.64886,1,0,2007,5,22,2007-05,1,2,2,88,65,76.5,10,59,66,0.0,5.8,16,7.4,896,54.73053358691181,67.57142857142857,0.05728571428571432,58.22315850131554,65.45,0.15020000000000003,60.71766496304569,68.5,0.10878571428571429,55.266038805821346
2007-05-29,CULEX RESTUANS,T094,41.720848,-87.666014,3,0,2007,5,22,2007-05,1,2,2,88,65,76.5,10,59,66,0.0,5.8,16,7.4,896,54.73053358691181,67.57142857142857,0.05728571428571432,58.22315850131554,65.45,0.15020000000000003,60.71766496304569,68.5,0.10878571428571429,55.266038805821346
